feature,value_0,value_1,value_2,value_3,value_4
Вы работаете?,0.0,0.0,0.0,0.0,0.0
Выход на пенсию,0.04824011142629052,0.0,0.12984848595846157,0.0,0.0
Прекращение работы по болезни,0.0,0.0,0.0,0.0,0.0
Сахарный диабет,0.0,0.3617524153246719,0.0,0.0,0.0
Гепатит,0.0,0.0,0.0,0.06408369037736641,0.0
Онкология,0.0,0.0,0.0,0.0,0.0
Хроническое заболевание легких,0.0,0.0,0.0,0.0,0.0
Бронжиальная астма,0.0,0.0,0.0,0.0,0.0
Туберкулез легких ,0.0,0.0,0.0,0.0,0.0
ВИЧ/СПИД,0.0,0.0,0.0,0.0,0.0
Регулярный прим лекарственных средств,0.14957825424321627,0.0,0.0,0.17674484361512208,0.2932275738487106
Травмы за год,0.0,0.0,0.0,0.0,0.0
Переломы,0.0,0.0,0.05756737498636024,0.0,0.0
Возраст курения,0.01453484104623324,0.0,0.0,0.0,0.0
Сигарет в день,0.0,0.0,0.09465581874171276,0.0,0.0
Пассивное курение,0.0,0.0,0.0,0.0,0.0
Возраст алког,0.0,0.0,0.0,0.0,0.0
Сон после обеда,0.0,0.0,0.0,0.0,0.0
"Спорт, клубы",0.0,0.0,0.0,0.0,0.0
"Религия, клубы",0.0,0.0,0.0,0.0,0.0
Пол_Ж,0.0,0.0,0.0,0.0,0.0
Пол_М,0.0,0.0,0.0,0.0,0.0
Семья_в браке в настоящее время,0.0,0.0,0.0,0.0,0.0
Семья_в разводе,0.0,0.0,0.0,0.0,0.0
Семья_вдовец / вдова,0.01580513857958714,0.0,0.0,0.0,0.0
Семья_гражданский брак / проживание с партнером,0.0,0.0,0.0,0.0,0.0
Семья_никогда не был(а) в браке,0.0,0.0,0.0,0.0,0.0
Семья_раздельное проживание (официально не разведены),0.0,0.0,0.0,0.0,0.0
"Этнос_другая азиатская (Корея, Малайзия, Таиланд, Вьетнам, Казахстан, Киргизия, Туркмения, Узбекистан, Таджикистан)",0.0,0.0,0.0,0.0,0.0
Этнос_европейская,0.0,0.0,0.0,0.0,0.0
"Этнос_прочее (любая иная этно-расовая группа, не представленная выше)",0.0,0.0,0.0,0.0,0.0
Национальность_Армяне,0.0,0.0,0.0,0.0,0.0
Национальность_Белорусы,0.0,0.0,0.0,0.0,0.0
Национальность_Другие национальности,0.0,0.0,0.0,0.0,0.0
Национальность_Казахи,0.0,0.0,0.0,0.0,0.0
